Tanggal,ID Transaksi,Nama Produk,Jumlah Terjual,Harga,Total Penjualan
2025-07-01,TRX001,Kaos Polos Katun Pria,3,75000,225000
2025-07-02,TRX002,Kemeja Flanel Lengan Panjang,2,145000,290000
2025-07-03,TRX003,Jaket Hoodie Zipper,1,175000,175000
2025-07-04,TRX004,Blus Lengan Panjang Wanita,4,98000,392000
2025-07-05,TRX005,Celana Jeans Slim Fit,2,160000,320000
2025-07-06,TRX006,Rok Midi A-Line,1,135000,135000
2025-07-07,TRX007,Dress Kasual Motif Bunga,2,185000,370000
2025-07-08,TRX008,Kaos Oversize Unisex,3,88000,264000
2025-07-09,TRX009,Sweater Rajut Pria,1,158000,158000
2025-07-10,TRX010,Tunik Muslim Wanita,2,168000,336000
